season,home_team,away_team,home_score,away_score,location
2018,Belmont,Seattle,90,77,1
2018,La Salle,Boston College,61,82,0
2018,Weber St,Bradley,64,70,0
2018,Iona,Coastal Carolina,84,89,0
2018,Mercer,Colorado,70,79,0
2018,Houston Christian,Detroit Mercy,109,116,0
2018,Drexel,Drake,88,90,0
2018,Wake Forest,Houston,73,78,0
2018,Tulsa,Illinois St,68,84,0
2018,Boise St,Iowa St,64,75,0
2018,Liberty,Quinnipiac,84,72,1
2018,NC-Central,Southern U,80,67,1
2018,Indiana St,Ohio,94,96,0
2018,Dayton,Old Dominion,67,75,0
2018,St Peters,South Alabama,49,54,1
2018,Western Michigan,South Carolina,66,79,0
2018,Clemson,Temple,60,67,0
2018,James Madison,UTSA,77,90,0
2018,Northwestern,Texas Tech,49,85,0
2018,Northern Kentucky,Vermont,64,66,0
2018,Syracuse,Oakland,74,50,1
2018,Mississippi St,Green Bay,77,68,1
2018,Kentucky,Troy,70,62,1
2018,George Washington,Rider,65,67,1
2018,Towson,Florida Atlantic,76,52,1
2018,Charlotte,Presbyterian,83,74,1
2018,Manhattan,Kansas City,63,74,0
2018,San Diego St,Eastern Illinois,94,63,1
2018,Iowa,Louisiana,71,80,0
2018,Missouri St,GA-Southern,73,74,0
2018,Prairie View A&M,Eastern Kentucky,80,70,1
2018,VCU,Marquette,83,94,0
2018,Wyoming,South Dakota St,77,65,1
2018,Eastern Washington,Georgia St,50,68,0
2018,Northern Illinois,Pennsylvania,80,93,0
2018,Savannah St,Jacksonville St,71,86,0
2018,California,Wichita St,82,92,0
2018,UAB,Richmond,50,63,0
2018,Duke,Furman,92,63,1
2018,Maryland,Jackson St,76,45,1
2018,Oklahoma St,Texas A&M,55,72,0
2018,East Carolina,Cleveland St,72,69,1
2018,UCLA,Creighton,89,100,0
2018,East Tennessee St,Delaware St,81,57,1
2018,NC-Greensboro,Delaware,79,66,1
2018,West Virginia,Long Beach St,91,62,1
2018,Bucknell,Siena,115,92,1
2018,Buffalo,Cincinnati,67,73,0
2018,Chattanooga,Alabama St,67,50,1
2018,Lipscomb,Abilene Christian,75,67,1
2018,Kansas St,Northern Arizona,80,58,1
2018,Oral Roberts,Montana,64,69,0
2018,Arkansas St,Howard,92,78,1
2018,North Texas,TX-Rio Grande,63,75,1
2018,Xavier,Hampton,96,60,1
